State,Year,Week,Men,Women,MenN,WomenN
NAY,2016,19,0,0,0.0,0.0
NAY,2016,20,0,0,0.0,0.0
NAY,2016,21,0,0,0.0,0.0
NAY,2016,22,0,0,0.0,0.0
NAY,2016,23,0,0,0.0,0.0
NAY,2016,24,0,0,0.0,0.0
NAY,2016,25,0,0,0.0,0.0
NLE,2015,47,1,0,4.31000114215e-07,0.0
NLE,2015,48,0,0,0.0,0.0
NLE,2015,49,0,0,0.0,0.0
NLE,2015,50,0,0,0.0,0.0
NLE,2015,51,0,0,0.0,0.0
NLE,2015,52,1,2,4.31000114215e-07,8.57165020981e-07
NLE,2016,1,0,0,0.0,0.0
NLE,2016,2,0,0,0.0,0.0
NLE,2016,3,0,0,0.0,0.0
NLE,2016,4,0,0,0.0,0.0
NLE,2016,5,0,0,0.0,0.0
NLE,2016,6,0,0,0.0,0.0
NLE,2016,7,0,0,0.0,0.0
NLE,2016,8,0,0,0.0,0.0
NLE,2016,9,0,0,0.0,0.0
NLE,2016,10,0,0,0.0,0.0
NLE,2016,11,0,0,0.0,0.0
NLE,2016,12,0,0,0.0,0.0
NLE,2016,13,0,0,0.0,0.0
NLE,2016,14,0,0,0.0,0.0
NLE,2016,15,0,0,0.0,0.0
NLE,2016,16,0,0,0.0,0.0
NLE,2016,17,0,0,0.0,0.0
NLE,2016,18,0,0,0.0,0.0
NLE,2016,19,0,1,0.0,4.28582510491e-07
NLE,2016,20,0,0,0.0,0.0
NLE,2016,21,0,0,0.0,0.0
NLE,2016,22,0,0,0.0,0.0
NLE,2016,23,0,0,0.0,0.0
NLE,2016,24,0,0,0.0,0.0
NLE,2016,25,0,0,0.0,0.0
OAX,2015,47,0,0,0.0,0.0
OAX,2015,48,0,0,0.0,0.0
OAX,2015,49,0,0,0.0,0.0
OAX,2015,50,0,0,0.0,0.0
OAX,2015,51,0,0,0.0,0.0
OAX,2015,52,0,0,0.0,0.0
OAX,2016,1,0,0,0.0,0.0
OAX,2016,2,0,0,0.0,0.0
OAX,2016,3,1,3,5.49750193512e-07,1.51289439896e-06
OAX,2016,4,4,13,2.19900077405e-06,6.55587572884e-06
OAX,2016,5,2,2,1.09950038702e-06,1.00859626597e-06
OAX,2016,6,1,1,5.49750193512e-07,5.04298132987e-07
OAX,2016,7,9,16,4.94775174161e-06,8.0687701278e-06
OAX,2016,8,2,2,1.09950038702e-06,1.00859626597e-06
OAX,2016,9,1,2,5.49750193512e-07,1.00859626597e-06
OAX,2016,10,0,0,0.0,0.0
OAX,2016,11,3,13,1.64925058054e-06,6.55587572884e-06
OAX,2016,12,0,4,0.0,2.01719253195e-06
OAX,2016,13,2,4,1.09950038702e-06,2.01719253195e-06
OAX,2016,14,0,3,0.0,1.51289439896e-06
OAX,2016,15,2,7,1.09950038702e-06,3.53008693091e-06
OAX,2016,16,1,2,5.49750193512e-07,1.00859626597e-06
OAX,2016,17,1,2,5.49750193512e-07,1.00859626597e-06
OAX,2016,18,2,3,1.09950038702e-06,1.51289439896e-06
OAX,2016,19,3,13,1.64925058054e-06,6.55587572884e-06
OAX,2016,20,0,2,0.0,1.00859626597e-06
OAX,2016,21,0,4,0.0,2.01719253195e-06
OAX,2016,22,0,1,0.0,5.04298132987e-07
OAX,2016,23,9,35,4.94775174161e-06,1.76504346546e-05
OAX,2016,24,1,9,5.49750193512e-07,4.53868319689e-06
OAX,2016,25,1,10,5.49750193512e-07,5.04298132987e-06
PUE,2015,47,0,0,0.0,0.0
PUE,2015,48,0,0,0.0,0.0
PUE,2015,49,0,0,0.0,0.0
PUE,2015,50,0,0,0.0,0.0
PUE,2015,51,0,0,0.0,0.0
PUE,2015,52,0,0,0.0,0.0
PUE,2016,1,0,0,0.0,0.0
PUE,2016,2,0,0,0.0,0.0
PUE,2016,3,0,0,0.0,0.0
PUE,2016,4,0,0,0.0,0.0
