State,Year,Station,Men,Women,MenN,WomenN
GRO,2011,spring,1,4,6.07695491082e-07,2.2946213501900003e-06
GRO,2011,summer,8,7,4.86156392865e-06,4.015587362830001e-06
GRO,2011,winter,0,0,0.0,0.0
GRO,2012,fall,0,0,0.0,0.0
GRO,2012,spring,0,1,0.0,5.73655337547e-07
GRO,2012,summer,17,29,1.03308233484e-05,1.66360047889e-05
GRO,2012,winter,0,0,0.0,0.0
GRO,2013,fall,10,9,6.07695491082e-06,5.16289803793e-06
GRO,2013,spring,1,4,6.07695491082e-07,2.2946213501900003e-06
GRO,2013,summer,8,7,4.86156392865e-06,4.015587362830001e-06
GRO,2013,winter,0,0,0.0,0.0
GRO,2014,fall,-74,-175,-4.49694663401e-05,-0.000100389684071
GRO,2014,spring,0,0,0.0,0.0
GRO,2014,summer,-17,-18,-1.03308233484e-05,-1.03257960759e-05
GRO,2014,winter,1,0,6.07695491082e-07,0.0
GRO,2015,fall,0,-178,0.0,-0.00010211065008299999
GRO,2015,spring,3,8,1.82308647325e-06,4.5892427003800005e-06
GRO,2015,summer,4,4,2.43078196433e-06,2.2946213501900003e-06
GRO,2015,winter,1,0,6.07695491082e-07,0.0
GRO,2016,spring,-195,4,-0.00011850062076100001,2.2946213501900003e-06
GRO,2016,winter,2,1,1.21539098216e-06,5.73655337547e-07
GUA,2008,fall,0,0,0.0,0.0
GUA,2008,spring,0,0,0.0,0.0
GUA,2008,summer,0,0,0.0,0.0
GUA,2008,winter,0,0,0.0,0.0
GUA,2009,fall,0,0,0.0,0.0
GUA,2009,spring,0,0,0.0,0.0
GUA,2009,summer,0,0,0.0,0.0
GUA,2009,winter,0,0,0.0,0.0
GUA,2010,fall,0,0,0.0,0.0
GUA,2010,spring,0,0,0.0,0.0
GUA,2010,summer,0,-1,0.0,-3.51253465555e-07
GUA,2010,winter,0,0,0.0,0.0
GUA,2011,fall,0,0,0.0,0.0
GUA,2011,spring,0,0,0.0,0.0
GUA,2011,summer,0,0,0.0,0.0
GUA,2011,winter,0,0,0.0,0.0
GUA,2012,fall,0,0,0.0,0.0
GUA,2012,spring,0,0,0.0,0.0
GUA,2012,summer,0,0,0.0,0.0
GUA,2012,winter,0,0,0.0,0.0
GUA,2013,fall,0,0,0.0,0.0
GUA,2013,spring,0,0,0.0,0.0
GUA,2013,summer,0,0,0.0,0.0
GUA,2013,winter,0,0,0.0,0.0
GUA,2014,fall,-1,0,-3.7887039790900004e-07,0.0
GUA,2014,spring,0,0,0.0,0.0
GUA,2014,summer,-3,-3,-1.13661119373e-06,-1.0537603966600001e-06
GUA,2014,winter,0,-13,0.0,-4.56629505221e-06
GUA,2015,fall,-1,-1,-3.7887039790900004e-07,-3.51253465555e-07
GUA,2015,spring,0,0,0.0,0.0
GUA,2015,summer,0,0,0.0,0.0
GUA,2015,winter,-1,0,-3.7887039790900004e-07,0.0
GUA,2016,spring,0,0,0.0,0.0
GUA,2016,winter,0,0,0.0,0.0
HID,2008,fall,0,0,0.0,0.0
HID,2008,spring,0,0,0.0,0.0
HID,2008,summer,0,0,0.0,0.0
HID,2008,winter,0,0,0.0,0.0
HID,2009,fall,0,0,0.0,0.0
HID,2009,spring,0,0,0.0,0.0
HID,2009,summer,3,9,2.33422708295e-06,6.52270335615e-06
HID,2009,winter,0,0,0.0,0.0
HID,2010,fall,-1,0,-7.78075694316e-07,0.0
HID,2010,spring,0,0,0.0,0.0
HID,2010,summer,0,0,0.0,0.0
